N,replicate,jobs,oracle_cost,tpr_cost,gap_per_household,zero_zone_fraction,coordinator_margin_min,min_household_saving,runtime_seconds
75,7,122,-1519.3897699293252,-1519.3897699293257,0.0,0.0,-7.105427357601002e-15,0.0,0.019233682192862034
75,8,136,-1394.5465665328954,-1394.5465665328948,9.094947017729283e-15,0.0,-7.105427357601002e-15,0.0,0.02105481643229723
75,9,138,-1410.7823757543383,-1410.7823757543383,0.0,0.0,-1.0658141036401503e-14,0.0,0.02145917247980833
75,10,130,-1433.4644623195593,-1433.4644623195597,0.0,0.0,-1.0658141036401503e-14,0.0,0.020104244351387024
75,11,137,-1404.7064087842703,-1404.7064087842705,0.0,0.0,-1.0658141036401503e-14,0.0,0.02060655038803816
75,12,137,-1421.4215103852582,-1421.4215103852578,6.063298011819522e-15,0.0,-7.105427357601002e-15,0.0,0.02114925440400839
75,13,140,-1401.7148586459714,-1401.7148586459712,3.031649005909761e-15,0.0,-1.4210854715202004e-14,0.0,0.020774669013917446
75,14,156,-1300.546063858562,-1300.5460638585619,3.031649005909761e-15,0.0,-1.0658141036401503e-14,1.6285431039285037,0.02312779799103737
75,15,143,-1385.0393692493624,-1385.0393692493622,3.031649005909761e-15,0.0,-7.105427357601002e-15,0.0,0.021750149317085743
100,0,168,-1933.8153126512657,-1933.8153126512661,0.0,0.0,-1.0658141036401503e-14,0.0,0.025748873129487038
100,1,169,-1968.0694450447354,-1968.0694450447354,0.0,0.0,-1.4210854715202004e-14,0.0,0.025230678729712963
100,2,181,-1882.3562563511157,-1882.3562563511152,4.547473508864641e-15,0.0,-1.7763568394002505e-14,0.0,0.02680779341608286
100,3,171,-1947.487014969942,-1947.4870149699423,0.0,0.0,-1.0658141036401503e-14,0.0,0.02584874350577593
100,4,176,-1902.6128072699569,-1902.6128072699566,2.2737367544323206e-15,0.0,-1.0658141036401503e-14,0.0,0.0266041848808527
100,5,170,-1955.6418325564323,-1955.6418325564323,0.0,0.0,-1.0658141036401503e-14,0.0,0.025879872031509876
100,6,170,-2011.6836645950239,-2011.6836645950243,0.0,0.0,-1.0658141036401503e-14,0.0,0.02490388136357069
100,7,175,-1916.9000567401133,-1916.9000567401133,0.0,0.0,-1.0658141036401503e-14,0.0,0.026533866301178932
100,8,177,-1897.628479258402,-1897.6284792584013,6.8212102632969615e-15,0.0,-1.0658141036401503e-14,0.0,0.026773364283144474
100,9,174,-1952.0056177019787,-1952.0056177019787,0.0,0.0,-1.0658141036401503e-14,0.0,0.026042090728878975
100,10,172,-1953.7884741716625,-1953.7884741716623,2.2737367544323206e-15,0.0,-1.0658141036401503e-14,0.0,0.02605073992162943
100,11,182,-1898.173797244531,-1898.1737972445317,0.0,0.0,-1.0658141036401503e-14,0.0,0.026649565435945988
100,12,163,-2015.86837076056,-2015.86837076056,0.0,0.0,-1.0658141036401503e-14,0.0,0.0247354619204998
100,13,174,-1943.9878470483307,-1943.9878470483309,0.0,0.0,-1.4210854715202004e-14,0.0,0.025976480916142464
100,14,179,-1972.330943903878,-1972.3309439038794,0.0,0.0,-1.0658141036401503e-14,0.0,0.026117430068552494
100,15,188,-1808.3055440392352,-1808.3055440392345,6.8212102632969615e-15,0.0,-1.0658141036401503e-14,0.0,0.027602046728134155
125,0,223,-2385.3581047084626,-2385.358104708463,0.0,0.0,-1.4210854715202004e-14,0.0,0.0324514526873827
125,1,216,-2406.3377504110827,-2406.337750411084,0.0,0.0,-1.0658141036401503e-14,0.0,0.0319128455594182
125,2,226,-2391.904053057332,-2391.904053057332,0.0,0.0,-1.4210854715202004e-14,0.0,0.032173505052924156
125,3,210,-2481.039751300407,-2481.0397513004077,0.0,0.0,-1.0658141036401503e-14,0.0,0.030722747556865215
125,4,231,-2356.7102975440453,-2356.7102975440453,0.0,0.0,-1.4210854715202004e-14,0.0,0.03326881490647793
125,5,230,-2342.3530159929014,-2342.3530159929014,0.0,0.0,-1.4210854715202004e-14,0.0,0.03435743506997824
125,6,228,-2380.2951456276146,-2380.2951456276146,0.0,0.0,-1.4210854715202004e-14,0.0,0.03263554070144892
125,7,232,-2381.8262416778784,-2381.82624167788,0.0,0.0,-1.4210854715202004e-14,0.0,0.03293213713914156
125,8,222,-2417.8610135062436,-2417.8610135062436,0.0,0.0,-1.4210854715202004e-14,0.0,0.03151769004762173
